部署名,棚番,用途,種類,メーカー名,品番,数量,依頼,依頼日,税抜単価,税抜金額 ,在庫数,発注点,発注,発注日,出庫,出庫日,入庫 ,入庫日,仕入先名,備考,担当者,伝票No,税込単価 ,税込金額,税額,税率,勘定科目,使用先,サイズ,入力日
生産部,,,ブルーシート,TRUSCO,BSA1818 ブルーシート α#3000 幅1.8m×長さ1.8m,1,,,470,¥470,,,,,,,,,棒柘産業(株),切粉コンテナ カバー,加藤彩,,¥517,¥517,¥47,10,消耗品,,,
生産部,,,ブルーシート,TRUSCO,BSA1827 ブルーシート α#3000 幅1.8m×長さ2.7m,1,,,670,¥670,,,,,,,,,棒柘産業(株),切粉コンテナ カバー,加藤彩,,¥737,¥737,¥67,10,消耗品,,,
生産部,,,スタンド(DG用),ミツトヨ,BSG-20X 215-151-10 コンパレータスタンド,1,,,,¥0,,,,,,,,,棒柘産業(株),製造課事務所内用,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,センサーライト,アイリスオーヤマ,BSL40MN-W 乾電池式LED屋内センサーライト ホワイト,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,引出し,TRUSCO,B型引出し B-1,1,,,340,¥340,,,,,,,,,棒柘産業(株),,加藤彩,,¥374,¥374,¥34,10,消耗品,,,
生産部,,,Oリング,NOK,C000216-U2A00XA 4DG-105,10,,,0,¥0,,,,,,,,,棒柘産業(株),発注単位：10個、中圧二次フィルター(シルバー)用,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,京セラ,C04G-SCLCR03-05AN,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C04-SCLCR03-05V-80,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C04-SCLCR03-05V-90,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C04-SCLCR03-05V-90 修理,1,,,,¥0,,,,,,,,,岩瀬産業(株),超硬ホルダードクターシステム(納期約2ヶ月),加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,京セラ,C04X-SJZCR03-065,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,京セラ,C05H-SCLCR03-06A,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C05-SCLCR03-06V-100,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C05-SCLCR03-06V-100 修理,1,,,,¥0,,,,,,,,,岩瀬産業(株),超硬ホルダードクターシステム(納期約2ヶ月),加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C05-SCLCR03-06V-60,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,京セラ,C06J-SCLCR04-07A,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
